stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column,target
RELIANCE,15,SeasonalNaive,autogluon_internal,38.54188232421849,1900.203477241852,43.59132341695824,2.9866564101883886,3.033903251067753,3.0051695448189917,2.6143001474454937,-1.3663196294006554,,
RELIANCE,15,AttentionForecaster,dl_univariate,41.79696220187493,,43.67537079797936,3.4164861213225066,,,,,,Close
RELIANCE,15,BiLSTM,dl_multivariate,48.65835190192725,,49.56211127885103,3.98477879882849,,,,,,Close
RELIANCE,15,ETS,autogluon_internal,46.62958238309446,2567.9595903803615,50.675039125592804,3.6047109476803425,3.6803799669870156,3.6357798948820554,3.162889738336553,-2.1978749954951815,,
HDFCBANK,15,AttentionForecaster,dl_multivariate,49.38393873659197,,51.26441849050533,5.563507094299034,,,,,,Close
HDFCBANK,15,original/XGBoost,classical,46.765979083476054,,51.31737847813713,5.1859040730229475,,,,,Close,
RELIANCE,15,Theta,autogluon_internal,48.445948865707,2750.573227279676,52.44590763138413,3.745782045260173,3.8271154803073935,3.7774047690866874,3.286094078056235,-2.425283396104109,,
HDFCBANK,15,BiLSTM,dl_univariate,52.31705718532699,,52.83696555864324,5.902588853004607,,,,,,Close
RELIANCE,15,AutoARIMA,statsforecast,49.00511242641478,2830.4989420462066,53.2024336101856,3.788387112137306,3.8719944123127403,3.821003607593744,3.324022204319179,-2.5248147305170114,,
RELIANCE,15,Naive,autogluon_internal,49.52386474609166,2901.4579557398906,53.86518314959943,3.8278339834511357,3.9138955259791164,3.8614515197969728,3.3592092316265294,-2.6131798498304435,,
HDFCBANK,15,SeasonalNaive,autogluon_internal,52.625737508138215,3270.877031750797,57.19158182591907,5.84117196837884,6.047733390755146,5.893171223516442,5.869321079049193,-5.673372655076784,,
RELIANCE,15,original/XGBoost,classical,46.92029813547013,,57.43400388123106,3.6599459354067267,,,,,Close,
HDFCBANK,15,original/ExpSmoothing,classical,54.01485740713653,,58.09758387376722,5.998009140060563,,,,,Close,
HDFCBANK,15,original/ARIMA,classical,57.02448209021562,,61.05444827790586,6.33407025145776,,,,,Close,
TCS,15,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,50.86247349117362,,61.43217904542899,1.282155583991166,,,,,,Close
RELIANCE,15,original/RandomForest,classical,50.31602588099213,,61.704479725556965,3.924320383453913,,,,,Close,
HDFCBANK,15,BiLSTM,dl_multivariate,67.37591641000023,,67.78080239545216,7.60421983499618,,,,,,Close
RELIANCE,15,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,72.26471605247173,,72.85639532701536,5.930045934558056,,,,,,Close
TCS,15,XGBoostSeq,dl_multivariate,61.75479977862269,,78.92139523711226,1.540518164107434,,,,,,Close
TCS,15,XGBoostSeq,dl_univariate,70.55739679598264,,81.68082489386008,1.768804685251749,,,,,,Close
RELIANCE,15,AttentionForecaster,dl_multivariate,84.07283488184434,,85.450437318094,6.909419553409421,,,,,,Close
RELIANCE,15,original/LSTM,classical,77.36337540377694,,86.23268511984746,6.069062692496592,,,,,Close,
RELIANCE,15,WeightedEnsemble,autogluon_timeseries,87.82033284505066,8442.700824217047,91.88417069450563,6.89042339595206,6.637547170579708,6.847485741919186,5.9568629049874415,-9.513678626933244,,
RELIANCE,15,DirectTabular,autogluon_internal,87.82033284505066,8442.700824217047,91.88417069450563,6.89042339595206,6.637547170579708,6.847485741919186,5.9568629049874415,-9.513678626933244,,
TCS,15,BiLSTM,dl_multivariate,97.13561384685673,,107.01274455310643,2.4186118573826456,,,,,,Close
HDFCBANK,15,original/LSTM,classical,108.03188861211486,,109.74862560310257,12.0620024809262,,,,,Close,
RELIANCE,15,xgb_limitdepth,flaml,102.38491617838685,12315.271363228187,110.97419232969523,7.914865985978595,8.299384857375435,7.9831085923583585,6.9447802058478905,-14.336183054723218,,
HDFCBANK,15,AttentionForecaster,dl_univariate,112.55228140014773,,112.96456285896096,12.70232012974411,,,,,,Close
HDFCBANK,15,Transformer,dl_multivariate,114.53640441081924,,114.85173640406319,12.92813758712798,,,,,,Close
HDFCBANK,15,DirectTabular,autogluon_internal,121.88175862630223,15100.000079924153,122.88205759965184,13.615274618119205,14.622858890132356,13.648646206564338,13.593409022463874,-29.807617237473828,,
TCS,15,DirectTabular,autogluon_internal,113.529248046874,25585.222747615757,159.95381442033747,2.841007651538489,2.771029738159949,2.77664798251072,3.0133196627616385,-0.9959281670051974,,
TCS,15,original/RandomForest,classical,130.488190305914,,161.35805277877645,3.214868738652273,,,,,Close,
TCS,15,Transformer,dl_univariate,150.52075280369027,,168.3603277243571,3.7385967109320775,,,,,,Close
TCS,15,original/ExpSmoothing,classical,140.92842929105782,,169.19572246218098,3.41129293079496,,,,,Close,
TCS,15,original/XGBoost,classical,139.3076427949686,,171.4181346712642,3.437765493588249,,,,,Close,
TCS,15,original/ARIMA,classical,150.9563424007271,,179.75348697524652,3.6533724763970064,,,,,Close,
NIFTY50,15,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,197.87615565561208,,236.52425049464702,0.8269774258142712,,,,,,Close
TCS,15,SeasonalNaive,autogluon_internal,224.2100341796885,60880.085899793456,246.73890228294658,5.427302844735726,5.604233696685714,5.4836295472216285,5.951034787997235,-3.7493148469233963,,
TCS,15,WeightedEnsemble,autogluon_timeseries,239.30402018229267,67944.59000123778,260.6618307333043,5.787715317175002,5.992052504005514,5.852791560563528,6.3516628692500685,-4.300423698352506,,
