stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column
HDFCBANK,15,AutoARIMA,statsforecast,0.00013673974559313365,2.7735380556290488e-08,0.00016653942643197282,1862228.9234229343,123.31992095189588,121.63719059529483,0.46946511131514634,-0.2702770345183383,
HDFCBANK,15,original/LSTM,classical,0.0001533799709413473,,0.00016709638760970409,853530.5959582464,,,,,Volatility
NIFTY50,15,RecursiveTabular,autogluon_internal,0.00011401172331348771,2.851191814644396e-08,0.00016885472497518085,13272.745782285096,122.90333078751503,129.40690698135882,0.7531762658630496,-0.44188371942707305,
HDFCBANK,15,original/ExpSmoothing,classical,0.0001574418915371104,,0.00017093921595386893,881313.8054714726,,,,,Volatility
NIFTY50,15,SeasonalNaive,autogluon_internal,0.00011816097258655897,3.279344821061659e-08,0.00018108961375688166,7643.973306856717,160.12930401446138,134.11643595888708,0.7805867459680994,-0.6584061035774365,
BANKNIFTY,15,RecursiveTabular,autogluon_internal,0.00013900647475515658,3.4692900550799e-08,0.00018626030320709511,5537.000497217979,134.84236840727874,193.61462998326232,0.46910103274694975,-1.6739638773572247,
HDFCBANK,15,arima,flaml,0.00017012194602629522,3.6268054046567775e-08,0.00019044173399380656,2777273.3762641163,122.993758298406,151.33241241222575,0.584075376050681,-0.6610724359279065,
HDFCBANK,15,original/ARIMA,classical,0.00017960921350335923,,0.00019332445359744743,1019823.4978741702,,,,,Volatility
BANKNIFTY,15,original/LSTM,classical,0.00018788454539067485,,0.00020092682900071492,402448.5828085964,,,,,Volatility
RELIANCE,15,original/XGBoost,classical,0.00015474650616994354,,0.00021793178362722885,5114.803374350977,,,,,Volatility
RELIANCE,15,original/ExpSmoothing,classical,0.00013881303597678256,,0.0002185835328720445,4413.011851402278,,,,,Volatility
RELIANCE,15,original/ARIMA,classical,0.00013919564273372673,,0.00021865835291301993,4451.591182674544,,,,,Volatility
BANKNIFTY,15,SeasonalNaive,autogluon_internal,0.0001407421512007212,4.791833162425398e-08,0.00021890256194081873,2852.9257378457974,144.6886247946757,196.0321601981,0.47495836863409496,-2.6933172433611503,
