horizon,mae,mape,model_col,mse,r2,rmse,source,stock
15,0.00011816097258655897,7643.973306856717,SeasonalNaive,3.279344821061659e-08,-0.6584061035774365,0.00018108961375688166,brain_automl,NIFTY50
15,0.00013900647475515658,5537.000497217979,RecursiveTabular,3.4692900550799e-08,-1.6739638773572247,0.00018626030320709511,brain_automl,BANKNIFTY
15,0.00017012194602629522,2777273.3762641163,arima,3.6268054046567775e-08,-0.6610724359279065,0.00019044173399380656,brain_automl,HDFCBANK
15,0.00017960921350335923,1019823.4978741702,original/ARIMA,,,0.00019332445359744743,brain_automl,HDFCBANK
15,0.00018788454539067485,402448.5828085964,original/LSTM,,,0.00020092682900071492,brain_automl,BANKNIFTY
15,0.00015474650616994354,5114.803374350977,original/XGBoost,,,0.00021793178362722885,brain_automl,RELIANCE
15,0.00013881303597678256,4413.011851402278,original/ExpSmoothing,,,0.0002185835328720445,brain_automl,RELIANCE
15,0.00013919564273372673,4451.591182674544,original/ARIMA,,,0.00021865835291301993,brain_automl,RELIANCE
15,0.0001407421512007212,2852.9257378457974,SeasonalNaive,4.791833162425398e-08,-2.6933172433611503,0.00021890256194081873,brain_automl,BANKNIFTY
15,0.00014896142882919576,5329.295919921615,original/RandomForest,,,0.00022019687016364267,brain_automl,RELIANCE
15,0.00013512129355109547,3934.749979291889,decomposition+model/LSTM,,,0.00022040177565513507,brain_automl,RELIANCE
15,0.00012909939961144341,2199.743439787603,decomposition+model/RandomForest,,,0.0002311909771953987,brain_automl,RELIANCE
15,0.0001319714870890641,2238.8467700956244,decomposition+model/XGBoost,,,0.00023439061517454174,brain_automl,RELIANCE
15,0.00018025607810362391,7086.495355094954,original/LSTM,,,0.00023820047411822704,brain_automl,RELIANCE
15,0.00017469496010276027,3976116.1555904387,SeasonalNaive,5.974571688228524e-08,-1.7363465200115513,0.00024442936992572157,brain_automl,HDFCBANK
15,0.00014039697718413246,438.9431897948028,WeightedEnsemble,6.527245999653184e-08,0.08496271299458336,0.0002554847549199988,brain_automl,RELIANCE
15,0.0001775008516925662,524.8154754648378,DirectTabular,6.71528250691043e-08,0.05860237427473325,0.00025913862133827967,brain_automl,RELIANCE
15,0.00014732401217694692,792.595141493437,decomposition+model/ARIMA,,,0.0002597965437105861,brain_automl,RELIANCE
